work_year,salary_cleaned,salary_in_usd_cleaned,company_size_lab,salary_currency_encoded,employee_residence_encoded,company_location_encoded,remote_ratio,job_title_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2023,161800.0,161800.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,141600.0,141600.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,,,0,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,176100.0,176100.0,0,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,100000.0,100000.0,1,51126126,25370322,25370322,100,39298127,0,0,1,0,0,0,1,0
2023,70000.0,70000.0,1,51126126,25370322,25370322,100,39298127,0,0,1,0,0,0,1,0
2023,85000.0,85000.0,1,51126126,25370322,25370322,0,39298127,1,0,0,0,0,0,1,0
2023,65000.0,65000.0,1,51126126,25370322,25370322,0,39298127,1,0,0,0,0,0,1,0
2023,138784.0,138784.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,83270.0,83270.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,75000.0,75000.0,1,51126126,25370322,25370322,0,53819113,1,0,0,0,0,0,1,0
2023,70000.0,70000.0,1,51126126,25370322,25370322,0,53819113,1,0,0,0,0,0,1,0
2023,204500.0,204500.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,138900.0,138900.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,,,1,51126126,25370322,25370322,100,67921766,0,0,0,1,0,0,1,0
2023,212200.0,212200.0,1,51126126,25370322,25370322,100,67921766,0,0,0,1,0,0,1,0
2023,95000.0,95000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,75000.0,75000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,195000.0,195000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,160000.0,160000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,230000.0,230000.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,143200.0,143200.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,100000.0,100000.0,1,51126126,25370322,25370322,100,39298127,0,0,1,0,0,0,1,0
2023,70000.0,70000.0,1,51126126,25370322,25370322,100,39298127,0,0,1,0,0,0,1,0
2023,105000.0,105000.0,0,51126126,25370322,25370322,50,4047729,0,0,1,0,0,0,1,0
2023,,20670.0,0,66761783,79926203,79926203,100,23304860,0,0,1,0,0,0,1,0
2023,38000.0,46178.0,1,94880613,22777947,22777947,0,53819113,0,0,1,0,0,0,1,0
2023,35000.0,42533.0,1,94880613,22777947,22777947,0,53819113,0,0,1,0,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,115000.0,115000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,168400.0,168400.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,105200.0,105200.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,,,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,159100.0,159100.0,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,190000.0,190000.0,1,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,150000.0,150000.0,1,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,162500.0,162500.0,1,51126126,25370322,25370322,0,39298127,0,0,1,0,0,0,1,0
2023,130000.0,130000.0,1,51126126,25370322,25370322,0,39298127,0,0,1,0,0,0,1,0
2023,150000.0,150000.0,1,51126126,25370322,25370322,100,14431868,0,0,0,1,0,0,1,0
2023,120000.0,120000.0,1,51126126,25370322,25370322,100,14431868,0,0,0,1,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,120000.0,120000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,222200.0,222200.0,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,136000.0,136000.0,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,45000.0,54685.0,1,94880613,26327867,26327867,100,53819113,0,0,0,1,0,0,1,0
2023,35000.0,42533.0,1,94880613,26327867,26327867,100,53819113,0,0,0,1,0,0,1,0
2023,241000.0,241000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,155000.0,155000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,220000.0,220000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,190000.0,190000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,55000.0,66837.0,1,94880613,22777947,22777947,0,72608695,0,0,1,0,0,0,1,0
2023,45000.0,54685.0,1,94880613,22777947,22777947,0,72608695,0,0,1,0,0,0,1,0
2020,15000.0,15000.0,1,51126126,93787016,21365473,0,52907227,0,1,0,0,0,0,1,0
